trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
98,0,98,0,190.80204290000006,,190.74982849999992,5,190.80204290000006,190.80204290000006,0.029203699999925448,191.83554490000006,193.63926730000003,[0.13932291666666666],[0.4010416666666667],[1],[0],[0],[2.8617001000000073],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
99,0,99,0,193.71834940000008,,193.64941610000005,10,193.71834940000008,193.71834940000008,0.04359780000004321,194.7198633999999,196.1375817999999,[-0.3333333333333333],[-0.3033854166666667],[1],[0],[0],[2.445959600000151],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
100,0,100,0,196.18491169999993,,196.1430957,5,196.18491169999993,196.18491169999993,0.020213199999943754,197.2189429,198.32242989999986,[0.022135416666666668],[0.3151041666666667],[1],[0],[0],[2.159337800000003],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
101,0,101,0,198.40160360000004,,198.33269629999995,10,198.40160360000004,198.40160360000004,0.051124999999956344,199.4352394,202.42075619999991,[0.13671875],[-0.07291666666666667],[1],[0],[0],[4.0384959999998955],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
102,0,102,0,202.48470909999992,,202.42555820000007,10,202.48470909999992,202.48470909999992,0.03618140000003223,203.4890994,205.08858039999996,[-0.4596354166666667],[0.4388020833333333],[1],[0],[0],[2.627067399999987],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
103,0,103,0,205.15413179999996,,205.0986089999999,10,205.15413179999996,205.15413179999996,0.040028800000072806,206.18496170000003,207.9212232,[-0.15755208333333334],[-0.15234375],[1],[0],[0],[2.78354719999993],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
104,0,104,0,207.9683169,,207.9315752,5,207.9683169,207.9683169,0.025403599999890503,209.00180309999996,209.70544059999997,[-0.21484375],[0.014322916666666666],[1],[0],[0],[1.7496424000000843],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
105,0,105,0,209.75265639999998,,209.71568000000002,5,209.75265639999998,209.75265639999998,0.02638969999998153,210.7850916,211.4881152999999,[0.16015625],[0.10807291666666667],[1],[0],[0],[1.7475537999998778],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
106,0,106,0,211.56810100000007,,211.49799630000007,10,211.56810100000007,211.56810100000007,0.044059199999992416,212.6013011,213.18761059999997,[-0.24609375],[-0.0625],[1],[0],[0],[1.6469372999999905],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
107,0,107,0,213.23637269999995,,213.19814429999997,5,213.23637269999995,213.23637269999995,0.026425400000107402,214.26822509999988,214.87211419999994,[0.17838541666666666],[-0.020833333333333332],[1],[0],[0],[1.6489121000001887],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
108,0,108,0,214.9199251,,214.8823319999999,5,214.9199251,214.9199251,0.026196799999979703,215.96824319999996,216.5049022999999,[0.16015625],[-0.3059895833333333],[1],[0],[0],[1.5976631000000907],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
109,0,109,0,216.58433979999995,,216.51530230000003,10,216.58433979999995,216.58433979999995,0.043153599999868675,217.58736249999993,217.88622370000007,[0.4544270833333333],[-0.02734375],[1],[0],[0],[1.329362200000105],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
110,0,110,0,217.95094659999995,,217.89154630000007,10,217.95094659999995,217.95094659999995,0.03706990000000587,218.96781669999996,220.08674389999987,[0.3984375],[0.125],[1],[0],[0],[2.1585051999998086],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
111,0,111,0,220.17058829999996,,220.0968410999999,10,220.17058829999996,220.17058829999996,0.044247700000141776,221.2179767,230.3033679,[-0.3880208333333333],[0.4765625],[1],[0],[0],[10.163645899999892],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
112,0,112,0,230.38389239999992,,230.31254850000005,10,230.38389239999992,230.38389239999992,0.04327630000011595,231.41746669999998,232.11989470000003,[-0.4088541666666667],[-0.17447916666666666],[1],[0],[0],[1.7652141999999458],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
113,0,113,0,232.20034009999995,,232.13045510000006,10,232.20034009999995,232.20034009999995,0.0546615999999176,233.2344490999999,234.620273,[-0.00390625],[0.3567708333333333],[1],[0],[0],[2.436634599999934],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
114,0,114,0,234.6676278,,234.62843539999994,5,234.6676278,234.6676278,0.025350599999910628,235.67150279999987,236.18927280000003,[0.10546875],[0.12239583333333333],[1],[0],[0],[1.5361996999999974],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
115,0,115,0,236.25083870000003,,236.20125000000007,5,236.25083870000003,236.25083870000003,0.02746579999984533,237.2842189999999,237.48543539999991,[0.10677083333333333],[-0.033854166666666664],[1],[0],[0],[1.2582475000001523],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
116,0,116,0,237.56997030000002,,237.4907458,10,237.56997030000002,237.56997030000002,0.0588759999998274,238.61730510000007,239.36986449999995,[0.07942708333333333],[0.234375],[1],[0],[0],[1.8204556999999113],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
117,0,117,0,239.4342107,,239.3804794,5,239.4342107,239.4342107,0.029847000000017943,240.4508570999999,240.65472419999992,[0.0234375],[0.16796875],[1],[0],[0],[1.245807700000114],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
118,0,118,0,240.70197089999988,,240.66456010000002,5,240.70197089999988,240.70197089999988,0.024930900000072143,241.70470699999987,242.60451839999996,[-0.2578125],[-0.14583333333333334],[1],[0],[0],[1.9161728000001403],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
119,0,119,0,242.6534282,,242.61491339999998,5,242.6534282,242.6534282,0.027262299999847528,243.70069549999994,244.90415000000007,[-0.03515625],[-0.40234375],[1],[0],[0],[2.2633771000000706],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
120,0,120,0,244.98346249999986,,244.9145028999999,10,244.98346249999986,244.98346249999986,0.048959899999999834,245.9862986999999,246.6360858999999,[0.3971354166666667],[0.02734375],[1],[0],[0],[1.674351500000057],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
121,0,121,0,246.7001811,,246.6404505999999,10,246.7001811,246.7001811,0.03458820000014384,247.7018911,247.95224389999998,[0.28515625],[0.029947916666666668],[1],[0],[0],[1.2773313000000144],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
